127.0.0.1 - - [17/Jun/2018:17:16:26 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:16:27 +0900] "GET /MyProject/NewFile1.html HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:16:27 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:16:27 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 200 19963
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:16:27 +0900] "GET /MyProject/img/imgCenterDiv.jpg HTTP/1.1" 200 941321
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:16:27 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:16:27 +0900] "GET /MyProject/img/imgDanceTeam.png HTTP/1.1" 200 710012
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:16:27 +0900] "GET /MyProject/img/imgRecruiting.png HTTP/1.1" 200 482318
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:01 +0900] "GET /MyProject/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:01 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:01 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:01 +0900] "GET /MyProject/img/imgCenterDiv.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:01 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:02 +0900] "GET /MyProject/img/imgDanceTeam.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:02 +0900] "GET /MyProject/img/imgRecruiting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:09 +0900] "GET /MyProject/NewFile1.html HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:09 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:09 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:09 +0900] "GET /MyProject/bootstrap-3.3.2-dist/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 200 19963
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:09 +0900] "GET /MyProject/img/imgCenterDiv.jpg HTTP/1.1" 200 941321
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:09 +0900] "GET /MyProject/img/imgDanceTeam.png HTTP/1.1" 200 710012
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:09 +0900] "GET /MyProject/img/imgRecruiting.png HTTP/1.1" 200 482318
0:0:0:0:0:0:0:1 - - [17/Jun/2018:17:18:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
